id,question,ex_or_im,story_section,reference_answer1,reference_answer2,generated_answer,rouge1_a1,rouge2_a1,rougeL_a1,rougeLsum_a1,rouge1_a2,rouge2_a2,rougeL_a2,rougeLsum_a2,bleu_a1,precisions_a1,brevity_penalty_a1,length_ratio_a1,translation_length_a1,reference_length_a1,bleu_a2,precisions_a2,brevity_penalty_a2,length_ratio_a2,translation_length_a2,reference_length_a2,bertscore_f1_a1,bertscore_f1_a2,bleurt_score_a1,bleurt_score_a2
10,"who was called salmon, and his christian name was matte ?",explicit,"there was once a fisherman who was called salmon , and his christian name was matte . he lived by the shore of the big sea ; where else could he live ? he had a wife called maie ; could you find a better name for her ? in winter they dwelt in a little cottage by the shore , but in spring they flitted to a red rock out in the sea and stayed there the whole summer until it was autumn . the cottage on the rock was even smaller than the other ; it had a wooden bolt instead of an iron lock to the doo",a fisherman .,a fisherman .,a fisherman,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6065306597126334,"[1.0, 1.0, 1.0, 1.0]",0.6065306597126334,0.6666666666666666,2,3,0.6065306597126334,"[1.0, 1.0, 1.0, 1.0]",0.6065306597126334,0.6666666666666666,2,3,0.9510553479194641,0.9510553479194641,0.7223071,0.7223071
11,why did the cook think the many-furred creature was a witch ?,explicit,"but when the dance was ended , she disappeared again so quickly that the king could not see which way she went . she ran to her little room and changed herself once more into the many - furred creature , and went into the kitchen to cook the bread - soup . when the cook was upstairs , she fetched the golden spinning - wheel and put it in the dish so that the soup was poured over it . it was brought to the king , who ate it , and liked it as much as the last time . he had the cook sent to him , a","she always put something in the soup , so that it is much better and tastes nicer to the king than any that he cooked .","they always put something in the soup , so that it is much better and tatses nicer to the king than any that i cook .",None of the above choices .,0.06896551724137931,0.0,0.06896551724137931,0.06896551724137931,0.06896551724137931,0.0,0.06896551724137931,0.06896551724137931,0.008720918324830598,"[0.42857142857142855, 0.16666666666666666, 0.2, 0.25]",0.03567399334725241,0.23076923076923078,6,26,0.008720918324830598,"[0.42857142857142855, 0.16666666666666666, 0.2, 0.25]",0.03567399334725241,0.23076923076923078,6,26,0.8416297435760498,0.835945725440979,-1.7033685,-1.6749195
12,what were the women about to do at the well ?,explicit,"he said not a word , however , but silently gazed at them through the foliage of the trees , waiting to see what they would do . he saw that in their hands they carried golden buckets . slowly and gracefully in their trailing garments they approached the well , standing in the shade of the katsura trees , and were about to draw water , all unknowing of the stranger who was watching them , for the happy hunter was quite hidden among the branches of the tree where he had posted himself .",draw water .,about to draw water .,They were about to draw water .,0.5,0.33333333333333337,0.5,0.5,0.8,0.7499999999999999,0.8,0.8,0.345720784641941,"[0.5, 0.42857142857142855, 0.3333333333333333, 0.2]",1.0,2.3333333333333335,7,3,0.6803749333171202,"[0.75, 0.7142857142857143, 0.6666666666666666, 0.6]",1.0,1.4,7,5,0.8923494815826416,0.9175518155097961,-0.18406746,0.27002832
13,"who was bent almost double, and was so wizened and wrinkled ?",explicit,"the young man raised his head as if to reply , but the king would not listen , and commanded his guards to put him under arrest , adding , however , that if the prisoner wished to visit any part of the city , he was at liberty to do so properly guarded , and in fifteen days he would be brought to trial before the highest judges in the land . the young man left the king 's presence , surrounded by soldiers , and accompanied by many of his friends , for he was a great favourite . by their advice h",an old woman .,an old woman .,the young man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32372956394183194,"[0.25, 0.3333333333333333, 0.5, 1.0]",0.7165313105737893,0.75,3,4,0.32372956394183194,"[0.25, 0.3333333333333333, 0.5, 1.0]",0.7165313105737893,0.75,3,4,0.874617874622345,0.874617874622345,-0.7766034,-0.7766034
14,what did matte and maie fish for in the spring ?,explicit,"all good things go in threes , so matte and his wife fished for salmon in spring , for herring in summer , and for cod in winter . when on saturdays the weather was fine and the wind favourable , they sailed to the nearest town , sold their fish , and went to church on sunday . but it often happened that for weeks at a time they were quite alone on the rock ahtola , and had nothing to look at except their little yellow - brown dog , which bore the grand name of prince , their grass tufts , their",salmon .,salmon .,salmon,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.36787944117144233,"[1.0, 1.0, 1.0, 1.0]",0.36787944117144233,0.5,1,2,0.36787944117144233,"[1.0, 1.0, 1.0, 1.0]",0.36787944117144233,0.5,1,2,0.9062989354133606,0.9062989354133606,0.43976188,0.43976188
15,how did andrew know meer-folk lived on that island ?,explicit,"but the latter did not lose heart . he gathered drift - wood along the strand , shot sea - birds , and looked for mussels and roots . he built himself a raft of drift - timber , and fished with a pole that had also been left behind . one day , while he was at work , he happened to notice a depression or hollow in the sand , as though made by the keel of a large northland schooner , and he could plainly trace the braidings of the hawsers from the strand up to the top of the island . then he thoug",the report he had often heard .,he happened to notice a depression or hollow in the sand .,andrew lived on that island .,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1869843520537038,"[0.2857142857142857, 0.16666666666666666, 0.2, 0.25]",0.846481724890614,0.8571428571428571,6,7,0.0812630644213965,"[0.2857142857142857, 0.16666666666666666, 0.2, 0.25]",0.36787944117144233,0.5,6,12,0.8454999923706055,0.8480671048164368,-1.3131361,-1.3905919
16,why would ryn jin by happy to meet the happy hunter ?,implicit,"princess tayotama listened to this long story , and then said : "" not only is it easy for you to see my father , but he will be much pleased to meet you . i am sure he will say that good fortune has befallen him , that so great and noble a man as you , the grandson of amaterasu , should come down to the bottom of the sea . "" and then turning to her younger sister , she said : "" do you not think so , tamayori ? "" "" yes , indeed , "" answered the princess tamayori , in her sweet voice . "" as you sa",happy hunter is the grandson of amaterasu .,he will say that good fortune has befallen him .,ryn jin is happy to meet the happy hunter .,0.5,0.14285714285714288,0.25,0.25,0.0,0.0,0.0,0.0,0.1972940627795883,"[0.5454545454545454, 0.2, 0.1111111111111111, 0.125]",1.0,1.25,10,8,0.12605968092174913,"[0.18181818181818182, 0.1, 0.1111111111111111, 0.125]",1.0,1.0,10,10,0.8661141395568848,0.8329179883003235,-0.99182487,-0.73051304
17,what did men call paul ?,explicit,"he was always accompanied on these occasions by an enormous grey - headed raven , who lived in the cave along with him , and who was his bosom friend and companion . the islanders feared this bird of ill omen as much , perhaps , as they feared its master ; for , although they went to consult snorro in all their difficulties and perplexities , and bought medicines and love - potions from him , they always looked upon him with a certain dread , feeling that there was something weird and uncanny ab",paul the silent .,paul the silent .,paul the silent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7165313105737893,"[1.0, 1.0, 1.0, 1.0]",0.7165313105737893,0.75,3,4,0.7165313105737893,"[1.0, 1.0, 1.0, 1.0]",0.7165313105737893,0.75,3,4,0.9424744844436646,0.9424744844436646,0.8197571,0.8197571
18,what did john nicholas do because he did not wish to be any poorer than andrew ?,explicit,"but the latter , who suspected where all this wealth had come from , did not wish to be any poorer than andrew . he knew that trolls and goblins walk mainly on christmas eve , and for that reason he sailed out to the sand banks at that time . and on christmas eve he did see a light or fire , but it seemed to be like will - o'-the - wisps fluttering about . when he came nearer he heard splashes , horrible howls , and cold , piercing cries , and there was a smell of slime and sea - weed , as at eb",sailed out to the san banks on christmas eve .,he sailed out to the sand banks .,john nicholas sailed out to the sand banks at that time .,0.5,0.33333333333333326,0.5,0.5,0.6666666666666665,0.625,0.6666666666666665,0.6666666666666665,0.31455601883230705,"[0.5384615384615384, 0.3333333333333333, 0.2727272727272727, 0.2]",1.0,1.2,12,10,0.48633831680799433,"[0.6153846153846154, 0.5, 0.45454545454545453, 0.4]",1.0,1.5,12,8,0.8689863085746765,0.9374926090240479,-0.98686963,0.057989225
19,why was it seldom that the sea king's palace was visited by mortals ?,implicit,""" then what can i do ? "" asked the distressed man . "" you had better go down to ryn gu and tell ryn jin , the dragon king of the sea , what your trouble is and ask him to find the hook for you . i think that would be the best way . "" "" your idea is a splendid one , "" said the happy hunter , "" but i fear i can not get to the sea king 's realm , for i have always heard that it is situated at the bottom of the sea . "" the younger princess left her sister to take charge of the happy hunter , and goi",it was very difficult to reach .,it was underwater .,None of the above choices .,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1869843520537038,"[0.2857142857142857, 0.16666666666666666, 0.2, 0.25]",0.846481724890614,0.8571428571428571,6,7,0.22089591134157885,"[0.2857142857142857, 0.16666666666666666, 0.2, 0.25]",1.0,1.5,6,4,0.8640245199203491,0.8675127029418945,-0.6079319,-1.5120883
20,why did the skillful fisher agree with his brother's proposal ?,implicit,"one day the happy hunter came to his brother , the skillful fisher , and said : "" well , my brother , i see you go to the sea every day with your fishing rod in your hand , and when you return you come laden with fish . and as for me , it is my pleasure to take my bow and arrow and to hunt the wild animals up the mountains and down in the valleys . for a long time we have each followed our favorite occupation , so that now we must both be tired , you of your fishing and i of my hunting . would i",he thought it was a good idea .,he did not think it was a bad idea .,he wanted to make a change .,0.30769230769230765,0.0,0.30769230769230765,0.30769230769230765,0.26666666666666666,0.0,0.26666666666666666,0.26666666666666666,0.19148978368719022,"[0.5, 0.14285714285714285, 0.16666666666666666, 0.2]",0.8668778997501817,0.875,7,8,0.14390022429682173,"[0.5, 0.14285714285714285, 0.16666666666666666, 0.2]",0.6514390575310556,0.7,7,10,0.9091506600379944,0.9046555757522583,-0.124346204,-0.5150141
21,why would the skillful fisher not accept the five hundred hooks ?,implicit,"the happy hunter felt that he was to blame for all that had come to pass , and bore his brother 's scornful scolding with humility and patience . he hunted everywhere for the hook most diligently , but it was nowhere to be found . he was at last obliged to give up all hope of finding it . he then went home , and in desperation broke his beloved sword into pieces and made five hundred hooks out of it . he took these to his angry brother and offered them to him , asking his forgiveness , and beggi",he wanted his original hook back .,they are of no use to him .,None of the above choices .,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.1869843520537038,"[0.2857142857142857, 0.16666666666666666, 0.2, 0.25]",0.846481724890614,0.8571428571428571,6,7,0.17516432701748888,"[0.42857142857142855, 0.16666666666666666, 0.2, 0.25]",0.7165313105737893,0.75,6,8,0.8614352345466614,0.8514281511306763,-1.098673,-0.7396389
22,what did the prince do that was strange ?,implicit,"the king had listened attentively to the story , and when it was ended he said : ' i suppose the prince had no arms with him , or else he would have used them ? ' ' yes , sire , he had arms ; he always carries a dagger in his belt . but when he saw the blood pouring from his face , he went to a corner of the court and began to cry , which was the strangest thing of all . ' on hearing this the king walked to the window and stood for a few minutes with his back to the room , where the company of y",he did not use his dagger during the fight .,cry .,went to a corner of the court and began to cry,0.09999999999999999,0.0,0.09999999999999999,0.09999999999999999,0.16666666666666669,0.0,0.16666666666666669,0.16666666666666669,0.11390778025531027,"[0.16666666666666666, 0.09090909090909091, 0.1, 0.1111111111111111]",1.0,1.1,11,10,0.11390778025531027,"[0.16666666666666666, 0.09090909090909091, 0.1, 0.1111111111111111]",1.0,5.5,11,2,0.8665271401405334,0.8306222558021545,-1.2865171,-0.7915805
23,what did the mowers do when the poor neighbor called out ?,explicit,"then the big man occurred to him , and he called out : "" old hopgiant ! "" but no one came , and the mowers all laughed at him and mocked him , thinking he had gone out of his mind . then he called again : "" old hopgiant ! "" and , just as before , there was no hopgiant to be seen . and the mowers could scarcely swing their scythes ; for they were laughing fit to split .",laughed at him .,laughed .,They laughed at him and mocked him .,0.6,0.5,0.6,0.6,0.25,0.0,0.25,0.25,0.339132609103075,"[0.5555555555555556, 0.5, 0.2857142857142857, 0.16666666666666666]",1.0,2.0,8,4,0.17747405280050269,"[0.3333333333333333, 0.125, 0.14285714285714285, 0.16666666666666666]",1.0,4.0,8,2,0.9059048891067505,0.8759922385215759,-0.3985663,-1.0976114
24,why didn't matte want to get the herring-net ?,explicit,"both rose . the summer night was as dark as if it had been october , the weather - cock creaked , and the storm was raging in every direction . as they went out the sea lay around them as white as now , and the spray was dashing right over the fisher - hut . in all his life matte had never remembered such a night . to launch the boat and put to sea to rescue the net was a thing not to be thought of . the fisherman and his wife stood aghast on the doorstep , holding on fast by the doorpost , whil",the storm was strong .,the storm was too strong .,matte wanted to be a fisherman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18575057999133598,"[0.14285714285714285, 0.16666666666666666, 0.2, 0.25]",1.0,1.2,6,5,0.18575057999133598,"[0.14285714285714285, 0.16666666666666666, 0.2, 0.25]",1.0,1.0,6,6,0.8622453808784485,0.8624749183654785,-1.5109748,-1.6237814
25,why did lady morna tell harold that she was engaged to his brother ?,implicit,"now , when the countess fraukirk had been away upon her wicked errand , strange things were happening at the castle at kirkwall . for harold , encouraged by his brother 's absence , offered his heart and hand once more to the lady morna . once more she refused him , and in order to make sure that the scene should not be repeated , she told him that she had plighted her troth to his brother . when he heard that this was so , rage and fury were like to devour him . mad with anger , he rushed from ",she did not want him to bother her anymore .,top stop harold from proposing again .,she had plighted her troth to his brother .,0.35294117647058826,0.0,0.23529411764705882,0.23529411764705882,0.0,0.0,0.0,0.0,0.15881076016027915,"[0.5, 0.1111111111111111, 0.125, 0.14285714285714285]",0.8948393168143697,0.9,9,10,0.14113991930789777,"[0.2, 0.1111111111111111, 0.125, 0.14285714285714285]",1.0,1.2857142857142858,9,7,0.8691820502281189,0.8390206098556519,-0.77222955,-1.3251054
26,why did maie lie to matte after he asked what she was humming ?,implicit,"' what would you do with a cow ? ' asked matte . ' she could not swim so far , and our boat is not large enough to bring her over here ; and even if we had her , we have nothing to feed her on . ' ' we have four alder bushes and sixteen tufts of grass , ' rejoined maie . ' yes , of course , ' laughed matte , ' and we have also three plants of garlic . garlic would be fine feeding for her . ' ' every cow likes salt herring , ' rejoined his wife . ' even prince is fond of fish . ' ' that may be , ",her husband did not want her to get a cow .,so that he would not know her intentions .,ahti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.817663819004394e-05,"[0.5, 1.0, 1.0, 1.0]",4.5399929762484854e-05,0.09090909090909091,1,11,0.0002820893212548129,"[0.5, 1.0, 1.0, 1.0]",0.00033546262790251185,0.1111111111111111,1,9,0.7836877107620239,0.7714269757270813,-1.7191195,-1.3383548
27,what did the smith do as the bannock entered ?,explicit,"but the little bannock had no wish to be eaten up by the miller , so it turned and ran out of the mill , and the miller was so busy that he did not trouble himself to run after it . after this it ran on , and on , and on , till it came to the smithy , and it popped in there to see what it could see . the smith was busy at the anvil making horse - shoe nails , but he looked up as the wee bannock entered .",made horse - shoe nails .,pick up his hammer and ran after it .,The smith ran out of the mill and ran out of the mill .,0.0,0.0,0.0,0.0,0.1904761904761905,0.10526315789473685,0.1904761904761905,0.1904761904761905,0.08839374326825923,"[0.13333333333333333, 0.07142857142857142, 0.07692307692307693, 0.08333333333333333]",1.0,2.3333333333333335,14,6,0.1250076305588977,"[0.26666666666666666, 0.14285714285714285, 0.07692307692307693, 0.08333333333333333]",1.0,1.5555555555555556,14,9,0.8463757038116455,0.8587881922721863,-1.5104908,-0.8992509
28,what were andrew's children like ?,explicit,"the smoke and the heat nearly killed the eavesdropper in the loft , and in order to catch his breath and get some fresh air , he tried to crawl out of the look - out in the roof ; yet he was of much heavier build than his brother , stuck fast and could move neither in nor out . then he grew frightened and began to scream ; but the goblins screamed much louder , and roared and howled , and thumped and clamored inside and outside the hut . but when the cock crowed they disappeared , and john nicho",bright and vigorous .,bright and vigorous .,Bright and vigorous,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5066641486392105,"[0.75, 0.6666666666666666, 0.5, 1.0]",0.7165313105737893,0.75,3,4,0.5066641486392105,"[0.75, 0.6666666666666666, 0.5, 1.0]",0.7165313105737893,0.75,3,4,0.9404222965240479,0.9404222965240479,1.062137,1.062137
29,who did the king decree should marry his daughter ?,explicit,"after a time they all came to a town where a king reigned whose daughter was so serious and solemn that no one could ever manage to make her laugh . so the king had decreed that whoever should succeed in making her laugh should marry her . when dullhead heard this he marched before the princess with his goose and its appendages , and as soon as she saw these seven people continually running after each other she burst out laughing , and could not stop herself . then dullhead claimed her as his br",whoever should succeed in making her laugh .,whoever should succeed in making her laugh .,dullhead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007667982759693039,"[0.5, 1.0, 1.0, 1.0]",0.0009118819655545162,0.125,1,8,0.0007667982759693039,"[0.5, 1.0, 1.0, 1.0]",0.0009118819655545162,0.125,1,8,0.8039980530738831,0.8039980530738831,-1.4635179,-1.4635179
30,who had a spite against the princess's parents ?,explicit,"' the king of granada is my father , and i was born in the palace which overlooks the plain of the vega . i was only a few months old when a wicked fairy , who had a spite against my parents , cast a spell over me , bending my back and wrinkling my skin till i looked as if i was a hundred years old , and making me such an object of disgust to everyone , that at length the king ordered my nurse to take my away from the palace . she was the only person who cared about me , and we lived together in",a wicked fairy .,a wicked fairy .,a wicked fairy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7165313105737893,"[1.0, 1.0, 1.0, 1.0]",0.7165313105737893,0.75,3,4,0.7165313105737893,"[1.0, 1.0, 1.0, 1.0]",0.7165313105737893,0.75,3,4,0.9514937996864319,0.9514937996864319,0.87794596,0.87794596
31,what did the prince do when he heard some strange birds singing ?,explicit,"things went on like this for some weeks , when , one day , as the king 's son was riding through the forest , he heard some strange birds singing more sweetly than birds had ever sung before . he tied his horse to a tree , and followed where the sound led him , and , to his surprise , he saw before him a beautiful girl chopping wood , with a wreath of pink rose - buds , out of which the singing came . standing in the shelter of a tree , he watched her a long while , and then , hat in hand , he w",tied his horse to a tree and followed where the sound led him .,"tied his horse to a tree , followed where the sound led him , saw before him a beautiful girl chopping wood .",He tied his horse to a tree,0.6,0.5555555555555556,0.6,0.6,0.4444444444444444,0.39999999999999997,0.4444444444444444,0.4444444444444444,0.30934850332660563,"[0.875, 0.8571428571428571, 0.8333333333333334, 0.8]",0.36787944117144233,0.5,7,14,0.08552033621493606,"[0.875, 0.8571428571428571, 0.8333333333333334, 0.8]",0.10170139230422684,0.30434782608695654,7,23,0.8926623463630676,0.8787005543708801,-0.37274292,-1.1294854
32,"what happened after the deer shook her head over ian, and wax fell from her ear ?",implicit,"' it is the man who is lying under the cask , ' answered the leader . ' go and kill him , and then come and eat your food and sleep , for we must be off betimes in the morning . ' so four of them killed the fisher 's son and left him , and then went to bed . by sunrise they were all out of the house , for they had far to go . and when they had disappeared the deer came off the roof , to where the dead man lay , and she shook her head over him , and wax fell from her ear , and he jumped up as wel",he was alive again .,ian jumped up as well as ever .,the deer jumped up as well as ever,0.0,0.0,0.0,0.0,0.7999999999999999,0.7692307692307692,0.7999999999999999,0.7999999999999999,0.13485111859503685,"[0.1111111111111111, 0.125, 0.14285714285714285, 0.16666666666666666]",1.0,1.6,8,5,0.7259795291154771,"[0.7777777777777778, 0.75, 0.7142857142857143, 0.6666666666666666]",1.0,1.0,8,8,0.8407530784606934,0.93211829662323,-1.2893044,-0.82117575
