id,question,ex_or_im,story_section,reference_answer1,reference_answer2,generated_answer,rouge1_a1,rouge2_a1,rougeL_a1,rougeLsum_a1,rouge1_a2,rouge2_a2,rougeL_a2,rougeLsum_a2,bleu_a1,precisions_a1,brevity_penalty_a1,length_ratio_a1,translation_length_a1,reference_length_a1,bleu_a2,precisions_a2,brevity_penalty_a2,length_ratio_a2,translation_length_a2,reference_length_a2,bleurt_score_a1,bleurt_score_a2
10,what happened after all was ready ?,explicit,"besides these , i want a cloak made of a thousand different kinds of skin ; every animal in your kingdom must give a bit of his skin to it . ' but she thought to herself , ' this will be quite impossible , and i shall not have to marry someone i do not care for . ' the king , however , was not to be turned from his purpose , and he commanded the most skilled maidens in his kingdom to weave the three dresses , one as golden as the sun , and one as silver as the moon , and one as shining as the st","the king commanded the cloak to be brought to him , and he spread it out before the princess .",the king commanded the cloak be brought to him .,"the king commanded the cloak to be brought to him , and he spread it out before the princess , and said , tomorrow shall be your wedding - day .",0.8181818181818181,0.8095238095238095,0.8181818181818181,0.8181818181818181,0.5142857142857142,0.42424242424242425,0.5142857142857142,0.5142857142857142,0.6132899519758969,"[0.65625, 0.6129032258064516, 0.6, 0.5862068965517241]",1.0,1.55,31,20,0.22241585725803045,"[0.34375, 0.25806451612903225, 0.2, 0.13793103448275862]",1.0,3.1,31,10,0.17788279,-0.21179056
11,why did the women not say anything ?,explicit,"as the two ladies leaned over the side of the well to let down their golden buckets , which they did every day in the year , they saw reflected in the deep still water the face of a handsome youth gazing at them from amidst the branches of the tree in whose shade they stood . never before had they seen the face of mortal man ; they were frightened , and drew back quickly with their golden buckets in their hands . their curiosity , however , soon gave them courage , and they glanced timidly upwar",they could not find a word to say to him .,their tounges were still withw onder and could not find a word to say to him .,their tongues were still with wonder and could not find a word to say to him .,0.6923076923076923,0.6666666666666667,0.6923076923076923,0.6923076923076923,0.8125,0.6666666666666666,0.8125,0.8125,0.573057404379869,"[0.6111111111111112, 0.5882352941176471, 0.5625, 0.5333333333333333]",1.0,1.5454545454545454,17,11,0.6853234406569368,"[0.8333333333333334, 0.7058823529411765, 0.625, 0.6]",1.0,1.0,17,17,0.17352268,-1.0078027
12,what did the mice do when the they saw the cat ?,explicit,""" eating is hard work in this country , "" said the merchant . "" how is it the folk here have no cats ? "" "" cats ? "" said the people : they did not know what they were . then the merchant had the cat that he had bought for the scullion brought , and when the cat went over the table , the mice had to hurry into their holes , and not in the memory of man had the people been able to eat in such comfort . then they begged and implored the merchant to sell them his cat . at last he said he would let t",hurried into their holes .,the mice had to hurry into their holes .,"hurry into their holes , and not in the memory of man had the people been able to eat in such comfort .",0.24,0.1739130434782609,0.24,0.24,0.48275862068965514,0.2222222222222222,0.27586206896551724,0.27586206896551724,0.10414419091986513,"[0.20833333333333334, 0.13043478260869565, 0.09090909090909091, 0.047619047619047616]",1.0,4.6,23,5,0.17059573701616804,"[0.375, 0.17391304347826086, 0.13636363636363635, 0.09523809523809523]",1.0,2.5555555555555554,23,9,-0.69567597,-1.1804224
13,what happened because the merchant did not want to give all the money to the boy ?,explicit,"now when the merchant was out at sea again , he considered how much the boy had gained with the four - shilling piece he had given him . "" well , he shall have some of the money , "" said the merchant to himself , "" but not all of it . for he has to thank me for the cat , which i bought for him , and charity begins at home . "" but while the merchant was thinking these thoughts , such a storm and tempest arose that all thought the ship would sink . then the merchant realized that there was nothing",such a storm and tempest arose that all the thought the ship would sink .,a storm and tempest arose that all thought the ship would sink .,he had a favoring wind for his journey home .,0.08695652173913043,0.0,0.08695652173913043,0.08695652173913043,0.09523809523809525,0.0,0.09523809523809525,0.09523809523809525,0.08461586088475063,"[0.2727272727272727, 0.1, 0.1111111111111111, 0.125]",0.6065306597126334,0.6666666666666666,10,15,0.10335004586873166,"[0.2727272727272727, 0.1, 0.1111111111111111, 0.125]",0.740818220681718,0.7692307692307693,10,13,-1.1409719,-1.0988702
14,why couldn't one find anyone like the king's wife ?,explicit,"there was once upon a time a king who had a wife with golden hair , and she was so beautiful that you could n't find anyone like her in the world . it happened that she fell ill , and when she felt that she must soon die , she sent for the king , and said , ' if you want to marry after my death , make no one queen unless she is just as beautiful as i am , and has just such golden hair as i have . promise me this . ' after the king had promised her this , she closed her eyes and died . for a long",she was so beautiful .,she was too beautiful .,"she fell ill , and when she felt that she must soon die , she sent for the king , and said , ' if you want to marry after my death , make no one queen unless she is just as beautiful as i am , and has just such golden hair as i have .",0.07547169811320753,0.0,0.07547169811320753,0.07547169811320753,0.07547169811320753,0.0,0.07547169811320753,0.07547169811320753,0.025035231196615153,"[0.06896551724137931, 0.017543859649122806, 0.017857142857142856, 0.01818181818181818]",1.0,11.4,57,5,0.025035231196615153,"[0.06896551724137931, 0.017543859649122806, 0.017857142857142856, 0.01818181818181818]",1.0,11.4,57,5,-1.220395,-1.3201067
15,who did rin jin call to find a wife ?,explicit,"the palace of rin jin was at the bottom of the sea , and was so beautiful that no one has ever seen anything like it even in dreams . the walls were of coral , the roof of jadestone and chrysoprase , and the floors were of the finest mother - of - pearl . but the dragon king , in spite of his wide - spreading kingdom , his beautiful palace and all its wonders , and his power which none disputed throughout the whole sea , was not at all happy , for he reigned alone . at last he thought that if he",all his fish retainers .,all his fish retainers .,all his fish retainers together .,0.888888888888889,0.8571428571428571,0.888888888888889,0.888888888888889,0.888888888888889,0.8571428571428571,0.888888888888889,0.888888888888889,0.6434588841607617,"[0.8571428571428571, 0.6666666666666666, 0.6, 0.5]",1.0,1.2,6,5,0.6434588841607617,"[0.8571428571428571, 0.6666666666666666, 0.6, 0.5]",1.0,1.2,6,5,0.56404215,0.56404215
16,what gave the women courage ?,explicit,"as the two ladies leaned over the side of the well to let down their golden buckets , which they did every day in the year , they saw reflected in the deep still water the face of a handsome youth gazing at them from amidst the branches of the tree in whose shade they stood . never before had they seen the face of mortal man ; they were frightened , and drew back quickly with their golden buckets in their hands . their curiosity , however , soon gave them courage , and they glanced timidly upwar",their curiosity .,their curioisty .,their curiosity .,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.5,1.0,"[1.0, 1.0, 1.0, 1.0]",1.0,1.0,3,3,0.5946035575013605,"[0.75, 0.3333333333333333, 0.5, 1.0]",1.0,1.0,3,3,1.0904244,-0.5173403
17,what did the country people need to do before snorro would attend to them ?,explicit,"and he would not attend to the country people who came to seek his help , unless they bowed themselves humbly before him and spoke to him as if he were a king . i say that the country people sought his help , for he spent his time , or appeared to spend it , in collecting herbs and simples on the hillsides , which he carried home with him to his dark abode , and distilled medicines and potions from them , which he sold to his neighbours at wondrous high prices . he was also the possessor of a wo",bowed themselves humbly before him and spoke to him as if he were a king .,bowed themselves humbly before him and spoke to him as if he were a king .,bowed themselves humbly before him and spoke to him as if he were a king .,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0]",1.0,1.0,16,16,1.0,"[1.0, 1.0, 1.0, 1.0]",1.0,1.0,16,16,1.0224779,1.0224779
18,where did the widowed mistress go during her walk ?,explicit,""" ye promised me what i liked to ask , and i have asked your son ; and your son i will have , "" she replied , "" so it is useless making such a din about it . but one thing i may tell you , for i know well that the knowledge will not help you . by the laws of fairy - land , i can not take the bairn till the third day after this , and if by that time you have found out my name i can not take him even then . but ye will not be able to find it out , of that i am certain . so i will call back for the",in the fir wood behind the house .,the fir wood behind the house .,in the fir wood behind the house .,1.0,1.0,1.0,1.0,0.923076923076923,0.9090909090909091,0.923076923076923,0.923076923076923,1.0,"[1.0, 1.0, 1.0, 1.0]",1.0,1.0,8,8,0.8633400213704505,"[0.8888888888888888, 0.875, 0.8571428571428571, 0.8333333333333334]",1.0,1.1428571428571428,8,7,1.0693039,0.60608274
19,why did the widowed mistress feel upset after she saw her cherished pig on its back ?,explicit,"but the song was quickly changed into a cry of despair when she reached the pig - stye , for there lay her cherished pig on its back , with its legs in the air and its eyes shut , just as if it were going to breathe its last breath . "" what shall i do ? what shall i do ? "" cried the poor woman , sitting down on a big stone and clasping her boy to her breast , heedless of the fact that she had dropped her bucket , and that the pig's - meat was running out , and that the hens were eating it . "" fi",she was going to lose her finest pig .,it was going to breathe its last breath .,"he had dropped her bucket , and that the pig's - meat was running out , and that the hens were eating it .",0.20689655172413796,0.0,0.13793103448275862,0.13793103448275862,0.13793103448275862,0.0,0.06896551724137931,0.06896551724137931,0.06024757292375468,"[0.16, 0.041666666666666664, 0.043478260869565216, 0.045454545454545456]",1.0,2.6666666666666665,24,9,0.06024757292375468,"[0.16, 0.041666666666666664, 0.043478260869565216, 0.045454545454545456]",1.0,2.6666666666666665,24,9,-1.0725678,-1.5472155
20,where did the creature and the huntsmen go ?,explicit,"the sun rose and she still slept on and on , although it was nearly noon . now , it happened that the king to whom this wood belonged was hunting in it . when his dogs came to the tree , they sniffed , and ran round and round it , barking . the king said to the huntsmen , ' see what sort of a wild beast is in there . ' the huntsmen went in , and then came back and said , ' in the hollow tree there lies a wonderful animal that we do n't know , and we have never seen one like it ; its skin is made",back to the palace .,to the palace .,back to the palace .,1.0,1.0,1.0,1.0,0.8571428571428571,0.8,0.8571428571428571,0.8571428571428571,1.0,"[1.0, 1.0, 1.0, 1.0]",1.0,1.0,5,5,0.7598356856515925,"[0.8333333333333334, 0.8, 0.75, 0.6666666666666666]",1.0,1.25,5,4,1.1419177,0.683619
21,what did the troll-folk do because the saw that the schooner was banned on the shore ?,explicit,"the fiddler knew neither rest nor repose , and did not pass his cap , but played merrily on with his left hand , and beat time with his foot , until he was dripping with sweat , and the fiddle was hidden by the dust and smoke . when andrew noticed that his own feet began to twitch where he was standing , he thought to himself : "" now i had better shoot away , or else he will play me right off the ground ! "" so he turned his gun , thrust it through the window , and shot it off over the bride 's h",wailed and crept into a hole in the hill .,they wailed and crept into a hole in the hill .,wailed and crept into a hole in the hill .,1.0,1.0,1.0,1.0,0.9473684210526316,0.9411764705882353,0.9473684210526316,0.9473684210526316,1.0,"[1.0, 1.0, 1.0, 1.0]",1.0,1.0,10,10,0.9048374180359595,"[1.0, 1.0, 1.0, 1.0]",0.9048374180359595,0.9090909090909091,10,11,1.0608103,0.6208067
22,what did the prince do after the old lady handed him the little bell ?,explicit,"so the old woman continued , ' the most beautiful woman in the whole world is the daughter of the queen of the flowers , who has been captured by a dragon . if you wish to marry her , you must first set her free , and this i will help you to do . i will give you this little bell : if you ring it once , the king of the eagles will appear ; if you ring it twice , the king of the foxes will come to you ; and if you ring it three times , you will see the king of the fishes by your side . these will ","put the little bell carefully in his pocket , he rode home and told his father that he meant to set the daughter of the flower queen free , and intended setting out on the following day into the wide world in search of the maid .",set out in search of the maid .,"he rode home and told his father that he meant to set the daughter of the flower queen free , and intended setting out on the following day into the wide world in search of the maid .",0.9,0.8974358974358974,0.9,0.9,0.32558139534883723,0.19512195121951217,0.32558139534883723,0.32558139534883723,0.7891158754249911,"[1.0, 1.0, 1.0, 1.0]",0.7891158754249911,0.8085106382978723,38,47,0.15293885404881336,"[0.23076923076923078, 0.15789473684210525, 0.13513513513513514, 0.1111111111111111]",1.0,4.75,38,8,0.11426878,-0.6746744
23,what kind of hair did the wife have ?,explicit,"there was once upon a time a king who had a wife with golden hair , and she was so beautiful that you could n't find anyone like her in the world . it happened that she fell ill , and when she felt that she must soon die , she sent for the king , and said , ' if you want to marry after my death , make no one queen unless she is just as beautiful as i am , and has just such golden hair as i have . promise me this . ' after the king had promised her this , she closed her eyes and died . for a long",golden hair .,golden hair .,golden hair as i have .,0.5714285714285715,0.4,0.5714285714285715,0.5714285714285715,0.5714285714285715,0.4,0.5714285714285715,0.5714285714285715,0.31239399369202553,"[0.5714285714285714, 0.3333333333333333, 0.2, 0.25]",1.0,2.0,6,3,0.31239399369202553,"[0.5714285714285714, 0.3333333333333333, 0.2, 0.25]",1.0,2.0,6,3,0.50097907,0.50097907
24,how could one tell the girl was human ?,explicit,"on christmas eve andrew heard fiddles and music far out at sea ; and when he came out , he saw a glow of light that came from a great northland schooner , which was gliding toward the land -- yet such a ship he had never yet seen . it has a main - sail of uncommon size , which looked to him to be of silk , and the most delicate tackling , as thin as though woven of steel wire , and everything else was in proportion , as fine and handsome as any northlander might wish to have . the whole schooner","she was tall , and handsomer than the meer - folk .","she was tall , and handsomer than the meer - folk .","she was tall , and handsomer than the meer - folk .",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0]",1.0,1.0,12,12,1.0,"[1.0, 1.0, 1.0, 1.0]",1.0,1.0,12,12,1.0666664,1.0666664
25,what happened when the farmer turned the corner ?,explicit,"when the bonze had begun to make his magic , the farmer , too , had mingled with the crowd . with neck outstretched and staring eyes he had stood there and had entirely forgotten the business he hoped to do with his pears . when the bonze had gone off he turned around to look after his cart . his pears had all disappeared . then he realized that the pears the bonze had divided had been his own . he looked more closely , and the axle of his cart had disappeared . it was plainly evident that it ha",there lay the missing piece from the axle by the city wall .,there lay the missing piece from the axle by the city wall .,he lay the missing piece from the axle by the city wall .,0.9166666666666666,0.9090909090909091,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9090909090909091,0.9166666666666666,0.9166666666666666,0.9193227152249185,"[0.9285714285714286, 0.9230769230769231, 0.9166666666666666, 0.9090909090909091]",1.0,1.0,13,13,0.9193227152249185,"[0.9285714285714286, 0.9230769230769231, 0.9166666666666666, 0.9090909090909091]",1.0,1.0,13,13,0.55249757,0.55249757
26,why was the fox not as plump as she was a fortnight ago ?,explicit,"at the sight of the fox lying within his grasp his mouth began to water , but his joy was somewhat checked when he noticed how thin she was . the fox 's quick ears heard the sound of his paws , though they were soft as velvet , and turning her head she said politely : ' is that you , neighbour ? what a strange place to meet in ! i hope you are quite well ? ' ' quite well as regards my health , ' answered the wolf , whose eye glistened greedily , ' at least , as well as one can be when one is ver",she had been very ill .,she was very ill .,a worm is fat in comparison with me .,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14113991930789777,"[0.2, 0.1111111111111111, 0.125, 0.14285714285714285]",1.0,1.5,9,6,0.14113991930789777,"[0.2, 0.1111111111111111, 0.125, 0.14285714285714285]",1.0,1.8,9,5,-1.6208067,-1.615186
27,what did andrew hear on christmas eve ?,explicit,"on christmas eve andrew heard fiddles and music far out at sea ; and when he came out , he saw a glow of light that came from a great northland schooner , which was gliding toward the land -- yet such a ship he had never yet seen . it has a main - sail of uncommon size , which looked to him to be of silk , and the most delicate tackling , as thin as though woven of steel wire , and everything else was in proportion , as fine and handsome as any northlander might wish to have . the whole schooner",fiddles and music far out at sea .,fiddles and music far out at sea .,fiddles and music far out at sea .,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0]",1.0,1.0,8,8,1.0,"[1.0, 1.0, 1.0, 1.0]",1.0,1.0,8,8,1.083653,1.083653
28,who broke out into some dispute about the game ?,explicit,"the king had just awakened from his midday sleep , for it was summer , and everyone rose early and rested from twelve to three , as they do in hot countries . he had dressed himself in cool white clothes , and was passing through the hall on his way to the council chamber , when a number of young nobles suddenly appeared before him , and one amongst them stepped forward and spoke . ' sire , this morning we were all playing tennis in the court , the prince and this gentleman with the rest , when ",the prince and this gentleman .,the prince and this gentleman .,the prince and this gentleman with the rest .,0.7692307692307693,0.7272727272727273,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7272727272727273,0.7692307692307693,0.7692307692307693,0.537284965911771,"[0.7, 0.5555555555555556, 0.5, 0.42857142857142855]",1.0,1.5,9,6,0.537284965911771,"[0.7, 0.5555555555555556, 0.5, 0.42857142857142855]",1.0,1.5,9,6,0.40932658,0.40932658
29,what did the goodwife throw at the bannock ?,explicit,"but it was not so easy to get hold of the wee bannock . it was in vain that the goodwife threw her clue at it , and that the goodman tried to chase it into a corner and knock it down with his shuttle . it dodged , and turned , and twisted , like a thing bewitched , till at last it flew out at the door again , and vanished down the hill , "" for all the world , "" as the old woman said , "" like a new tarred sheep , or a daft cow . "" in the next house that it came to it found the goodwife in the kit",her clue .,her clue at it .,clue at it .,0.4,0.0,0.4,0.4,0.8571428571428571,0.8,0.8571428571428571,0.8571428571428571,0.3976353643835253,"[0.6, 0.25, 0.3333333333333333, 0.5]",1.0,1.3333333333333333,4,3,0.7788007830714049,"[1.0, 1.0, 1.0, 1.0]",0.7788007830714049,0.8,4,5,-0.76406837,-0.14902048
30,what did the wizard do before the princess's fifteenth birthday ?,explicit,"' as you may suppose , this was not easy , as my ugliness was such that no one would look at me a second time . my nurse and i were almost in despair , as my fifteenth birthday was drawing near , and i had never so much as spoken to a man . at last we received a visit from the wizard , who told us what had happened at court , and your story , bidding me to put myself in your way when you had lost all hope , and offer to save you if you would consent to marry me . ' ' that is my history , and now","told them what had happened at court , bidding her to put herself in his way when he had lost all hope , and offer to save him if he would consent to marry her .","told them what had happened at court , and the princes ' story , bidding me to put myself in your way when you had lost all hope .","he told us what had happened at court , and your story , bidding me to put myself in your way when you had lost all hope , and offer to save you if you would consent to marry him .",0.7714285714285715,0.47058823529411764,0.7142857142857142,0.7142857142857142,0.7096774193548386,0.6333333333333333,0.7096774193548386,0.7096774193548386,0.4341988473496005,"[0.7380952380952381, 0.4878048780487805, 0.35, 0.28205128205128205]",1.0,1.1388888888888888,41,36,0.5261810412374767,"[0.6190476190476191, 0.5365853658536586, 0.5, 0.46153846153846156]",1.0,1.4137931034482758,41,29,0.1260454,-0.14158896
31,what did harold's mother and aunt do after he took the vest ?,explicit,""" for whom hast thou purchased that ? "" he asked , hoping to hear that it was intended for him . "" tis a christmas gift for thy brother paul , "" answered his mother , and she would have gone on to tell him how deadly a thing it was , had he given her time to speak . but her words fanned his fury into madness , for it seemed to him that this hated brother of his was claiming everything . "" everything is for paul ! i am sick of his very name , "" he cried . "" by my troth , he shall not have this ! ","threw themselves at his feet , begging him to lay it down , and warning him that there was not a thread in it which was not poisoned .",his mother and his aunt threw themselves at his feet .,"threw themselves at his feet , begging him to lay it down , and warning him that there was not a thread in it which was not poisoned .",1.0,1.0,1.0,1.0,0.33333333333333337,0.23529411764705882,0.2777777777777778,0.2777777777777778,1.0,"[1.0, 1.0, 1.0, 1.0]",1.0,1.0,29,29,0.16436148154531297,"[0.26666666666666666, 0.1724137931034483, 0.14285714285714285, 0.1111111111111111]",1.0,2.6363636363636362,29,11,0.94843984,-1.0676286
32,why did ian need to go meet the third sister ?,explicit,"the fisher 's son did as the woman told him , and everything happened just as she had said . but at parting the second sister said to him , as she gave him another pair of shoes : ' go to my third sister , for she has a son who is keeper of the birds of the air , and sends them to sleep when night comes . he is very wise , and perhaps he can help you . ' then the young man thanked her , and went to the third sister .","she has a son who is keeper of the birds of the air , and sends them to sleep when night comes .",she has a son .,"he has a son who is keeper of the birds of the air , and sends them to sleep when night comes .",0.9523809523809523,0.9500000000000001,0.9523809523809523,0.9523809523809523,0.24,0.1739130434782609,0.24,0.24,0.9554427922043668,"[0.9583333333333334, 0.9565217391304348, 0.9545454545454546, 0.9523809523809523]",1.0,1.0,23,23,0.10414419091986513,"[0.20833333333333334, 0.13043478260869565, 0.09090909090909091, 0.047619047619047616]",1.0,4.6,23,5,0.3776275,-1.4507878
